page,url,pageBundle,pageEntityId,pageTitle,viewId,displayId,displayTitle,contentTypes,limit,source,rawArgs,argumentDimensions,argumentValues,surfaceLabel
/case-studies,https://som.yale.edu/case-studies,center,315,Case Study Research \u0026 Development Team (CRDT),stories_grid_without_images,embed_news,All news,story,3,manual-override,942,context,Case Study Research and Development (942),
/alumni,https://som.yale.edu/alumni,page,243385,Alumni,event_teaser_list,embed_1,Embed,event,3,section-context,1142,context,Alumni (1142),
/alumni,https://som.yale.edu/alumni,page,243385,Alumni,stories_grid_with_images,embed_1,All stories,story,3,section-context,1142,context,Alumni (1142),
/centers/center-for-customer-insights,https://som.yale.edu/centers/center-for-customer-insights,center,134,Yale Center for Customer Insights,stories_grid_with_images,embed_blog,All blogs,story,3,section-context,944,context,Center for Customer Insights (944),
/centers/chief-executive-leadership-institute,https://som.yale.edu/centers/chief-executive-leadership-institute,center,107,Chief Executive Leadership Institute,stories_grid_with_images,embed_news,All news,story,3,section-context,925,context,Chief Executive Leadership Institute (925),
/centers/international-center-for-finance,https://som.yale.edu/centers/international-center-for-finance,center,83,International Center for Finance,stories_teaser_cards,embed_all,All stories,story,3,section-context,931,context,International Center for Finance (931),
/centers/program-on-entrepreneurship,https://som.yale.edu/centers/program-on-entrepreneurship,center,105,Program on Entrepreneurship,stories_grid_without_images,embed_1,All stories,story,3,section-context,934,context,Program on Entrepreneurship (934),
/centers/program-on-financial-stability,https://som.yale.edu/centers/program-on-financial-stability,center,106,Program on Financial Stability,stories_grid_without_images,embed_1,All stories,story,3,section-context,955,context,Program on Financial Stability (955),
/centers/swensen-asset-management-institute,https://som.yale.edu/centers/swensen-asset-management-institute,center,1173,Swensen Asset Management Institute,stories_teaser_cards,embed_all,All stories,story,3,section-context,1174,context,Swensen Asset Management Institute (1174),
/centers/the-broad-center,https://som.yale.edu/centers/the-broad-center,center,5,The Broad Center,stories_grid_with_images,embed_1,All stories,story,3,section-context,926,context,The Broad Center (926),
/centers/the-broad-center/masters-degree-in-public-education-management,https://som.yale.edu/centers/the-broad-center/masters-degree-in-public-education-management,page,226963,Master\u2019s Degree in Public Education Management,stories_teaser_cards,embed_news,All news,story,3,section-context,926,context,The Broad Center (926),
/centers/the-broad-center/masters-degree-in-public-education-management,https://som.yale.edu/centers/the-broad-center/masters-degree-in-public-education-management,page,226963,Master\u2019s Degree in Public Education Management,stories_teaser_cards,embed_news,All news,story,3,section-context,926,context,The Broad Center (926),
/programs/emba,https://som.yale.edu/programs/emba,program,80,MBA for Executives,event_teaser_list,embed_1,Embed,event,3,section-context,928,context,MBA For Executives (928),
/programs/emba,https://som.yale.edu/programs/emba,program,80,MBA for Executives,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,928,context,MBA For Executives (928),
/programs/emba/admissions,https://som.yale.edu/programs/emba/admissions,page,232644,Admissions,event_teaser_list,embed_1,Embed,event,3,section-context,928,context,MBA For Executives (928),
/programs/emba/admissions,https://som.yale.edu/programs/emba/admissions,page,232644,Admissions,event_teaser_list,embed_1,Embed,event,3,section-context,928,context,MBA For Executives (928),
/programs/emba/admissions,https://som.yale.edu/programs/emba/admissions,page,232644,Admissions,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,928,context,MBA For Executives (928),
/programs/emba/admissions,https://som.yale.edu/programs/emba/admissions,page,232644,Admissions,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,928,context,MBA For Executives (928),
/programs/emba/curriculum/global-offerings,https://som.yale.edu/programs/emba/curriculum/global-offerings,page,269045,Global Offerings,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,928,context,MBA For Executives (928),
/programs/emba/curriculum/global-offerings,https://som.yale.edu/programs/emba/curriculum/global-offerings,page,269045,Global Offerings,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,928,context,MBA For Executives (928),
/programs/mam,https://som.yale.edu/programs/mam,program,81,Master of Advanced Management,event_teaser_list,embed_1,Embed,event,3,section-context,932,context,Master of Advanced Management (932),
/programs/mam,https://som.yale.edu/programs/mam,program,81,Master of Advanced Management,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,932,context,Master of Advanced Management (932),
/programs/mam/admissions,https://som.yale.edu/programs/mam/admissions,page,17286,Admissions,stories_teaser_cards,embed_all,All stories,story,3,section-context,932,context,Master of Advanced Management (932),
/programs/mam/admissions,https://som.yale.edu/programs/mam/admissions,page,17286,Admissions,stories_teaser_cards,embed_all,All stories,story,3,section-context,932,context,Master of Advanced Management (932),
/programs/mba,https://som.yale.edu/programs/mba,program,4,MBA,event_teaser_list,embed_1,Embed,event,3,section-context,92,context,MBA (92),
/programs/mba,https://som.yale.edu/programs/mba,program,4,MBA,stories_teaser_cards,embed_blog,All blogs,story,3,section-context,92,context,MBA (92),
/programs/mba/admissions,https://som.yale.edu/programs/mba/admissions,page,231090,MBA Admissions,event_teaser_list,embed_1,Embed,event,3,section-context,92,context,MBA (92),
/programs/mba/admissions,https://som.yale.edu/programs/mba/admissions,page,231090,MBA Admissions,event_teaser_list,embed_1,Embed,event,3,section-context,92,context,MBA (92),
/programs/mba/admissions,https://som.yale.edu/programs/mba/admissions,page,231090,MBA Admissions,stories_grid_with_images,embed_blog,All blogs,story,3,section-context,92,context,MBA (92),
/programs/mba/admissions,https://som.yale.edu/programs/mba/admissions,page,231090,MBA Admissions,stories_grid_with_images,embed_blog,All blogs,story,3,section-context,92,context,MBA (92),
/programs/mba/admissions/application-information/application-guide,https://som.yale.edu/programs/mba/admissions/application-information/application-guide,page,269469,2025-2026 Application Guide,stories_grid_with_images,embed_blog,All blogs,story,3,section-context,92,context,MBA (92),
/programs/mba/admissions/application-information/application-guide,https://som.yale.edu/programs/mba/admissions/application-information/application-guide,page,269469,2025-2026 Application Guide,stories_grid_with_images,embed_blog,All blogs,story,3,section-context,92,context,MBA (92),
